1.90885890;	4.98039198
1.90885890;	2.74509811
1.91785371;	2.31372547
1.91785371;	4.29411745
1.91785371;	2.68627453
1.92693043;	1.31372547
1.92693043;	1.74509799
1.92693043;	3.86274505
1.93617105;	1.03921568
1.93617105;	2.21568632
1.93617105;	3.15686274
1.94514120;	1.31372547
1.94514120;	0.60784316
1.94514120;	3.47058821
1.95386577;	3.33333325
1.95386577;	1.39215684
1.95386577;	3.49019599
1.96295071;	3.49019599
1.96295071;	1.82352936
1.96295071;	1.45098042
1.97209299;	4.98039198
1.97209299;	2.66666675
1.97209299;	2.72549009
1.98094845;	4.19607830
1.98094845;	3.19607854
1.98094845;	1.56862748
1.98996782;	1.86274505
1.98996782;	4.43137264
1.98996782;	1.33333337
1.99891353;	2.47058821
1.99891353;	3.17647052
1.99891353;	1.52941179
2.00790024;	0.49019608
2.00790024;	2.56862736
2.00790024;	2.13725495
2.01680493;	0.29411766
2.01680493;	1.72549021
2.01680493;	1.80392158
2.02585697;	0.00000000
2.02585697;	0.00000000
2.02585697;	3.01960778
2.03493381;	0.60784316
2.03493381;	0.15686275
2.03493381;	1.98039210
2.04383850;	1.29411769
2.04383850;	0.00000000
2.04383850;	0.07843138
2.05316091;	3.09803915
2.05316091;	0.37254903
2.05316091;	1.60784316
2.06190181;	2.68627453
2.06190181;	1.23529410
2.06190181;	0.64705884
2.07095408;	3.21568632
2.07095408;	3.27450991
2.07095408;	1.39215684
2.07977676;	3.45098042
2.07977676;	4.15686274
2.07977676;	1.84313726
2.08886170;	1.90196073
2.08886170;	4.98039198
2.08886170;	2.80392146
2.09797120;	2.33333325
2.09797120;	3.90196085
2.09797120;	2.92156863
2.10691690;	1.29411769
2.10691690;	1.31372547
2.10691690;	4.21568632
2.11610007;	1.27450979
2.11610007;	2.19607854
2.11610007;	3.07843137
2.12486553;	1.39215684
2.12486553;	0.70588237
2.12486553;	2.90196085
2.13401604;	3.31372547
2.13401604;	1.23529410
2.13401604;	3.17647052
2.14278150;	3.52941179
2.14278150;	1.66666663
2.14278150;	1.15686274
2.15196466;	4.78431368
2.15196466;	2.25490189
2.15196466;	1.78431368
2.16084480;	3.64705873
2.16084480;	2.96078420
2.16084480;	0.92156863
2.16992164;	1.15686274
2.16992164;	4.45098019
2.16992164;	1.33333337
2.17905569;	2.03921580
2.17905569;	3.27450991
2.17905569;	1.43137252
2.18789482;	0.72549021
2.18789482;	2.98039222
2.18789482;	3.07843137
2.19699621;	1.23529410
2.19699621;	2.90196085
2.19699621;	3.50980401
2.20603180;	1.19607842
2.20603180;	0.90196079
2.20603180;	4.29411745
2.21486282;	1.70588231
2.21486282;	1.31372547
2.21486282;	3.21568632
2.22383308;	2.35294127
2.22383308;	0.88235295
2.22383308;	1.25490201
2.23291802;	4.29411745
2.23291802;	1.56862748
2.23291802;	2.52941179
2.24219966;	3.76470590
2.24219966;	2.11764717
2.24219966;	1.05882359
2.25108790;	3.50980401
2.25108790;	3.60784316
2.25108790;	1.50980389
2.26010728;	3.49019599
2.26010728;	3.74509811
2.26010728;	1.82352936
2.26890540;	1.23529410
2.26890540;	4.62745094
2.26890540;	2.13725495
2.27805591;	1.66666663
2.27805591;	3.41176462
2.27805591;	2.62745094
2.28691959;	1.05882359
